11;Угнать за 60 секунд;2000;7.572;Доминик Сена;90000000;Что можно успеть за 60 секунд? Выкурить сигарету или выпить чашку кофе. Но только один профессионал в мире, легендарный вор по кличке Мемфис, может за считанные секунды угнать любой автомобиль. Однако на этот раз ему предстоит сделать невозможное: чтобы спасти своего брата, Мемфис должен за одну ночь угнать 50 первоклассных машин. Чтобы вырваться из двойного капкана мафии и полиции, он должен следовать одному принципу — не останавливаться…;Николас Кейдж,Анджелина Джоли,Джованни Рибизи,Роберт Дювалл,Уилл Пэттон,Делрой Линдо,Тимоти Олифант,Скотт Каан,Кристофер Экклстон,Винни Джонс
12;Уик-энд;1999;;Брайан Скит;;;Джина Роулендс,Дебора Кара Ангер,Брук Шилдс,Джаред Харрис,Дэвид Конрад,Джеймс Дювал,Д.Б. Суини,Гари Дурдан,Джессика Моррис
13;Экстази;1999;7.162;Даг Лайман;20000000;Утром очаровательная кассирша Рона знакомится со странной парочкой, днем оставляет свою подругу в залог, вечером оказывается в придорожной канаве без признаков жизни. Наркоделец Саймон начинает день в багажнике автомобиля, продолжает его в горящем номере с двумя женщинами и заканчивает гонками без правил на улицах Лас-Вегаса. Сладкая парочка Зак и Адам целые сутки помогают полиции, мешая всем остальным, за что в конце удостаиваются чести поужинать с полоумным служителем закона. Между тем такие разные истории ожидает один и тот же непредсказуемый финал…;Сара Полли,Тимоти Олифант,Уильям Фихтнер,Кэти Холмс,Скотт Вулф,Джей Мор,Десмонд Аскью,Тэй Диггз,Брекин Мейер,Нэйтан Бекстон
14;Панк из Солт-Лейк-Сити;1998;7.758;Джеймс Мерендино;;Если вы выросли в Америке, то бунтарство против всего мира у вас в крови. А если вы к тому же Стиво, и живете в эру Рейгана в Солт-Лейк-Сити, то… бунтарство в вас проявится чуть-чуть сильнее. Мир — его враг, анархия — его религия. Вы отправляетесь в захватывающее путешествие по его жизни, и по дороге вы встречаете панков, позеров, модов, фриков, наркоманов и других личностей. Отец Стиво, бывший хиппи, считает, что его жизнь проходит впустую и убеждает сына поступить в Юридическую школу Гарварда, которую он сам окончил. Но у Стиво, под, казалось бы, непробиваемой броней из ирокеза, сережек и кожи, скрывается много мыслей. Встает вопрос: как сохранить свою индивидуальность и жить в обществе?;Мэттью Лиллард,Майкл А. Гурджиан,Аннабет Гиш,Дженнифер Лиен,Кристофер Макдональд,Девон Сава,Джейсон Сигел,Адам Паскаль,Тиль Швайгер,Джеймс Дювал
15;Отель Александрия;1999;;Андреа Барзини;;;Джеймс Дювал,Род Стайгер,Кьяра Барзини,Стефано Дионизи,Козимо Фуско,Kozetta Garnett,Хизер Грэм,Карла Гуджино,Сара Лассез,Стефани Романов
16;Маска призрака;1999;5.796;Жан Пеллерин;;Смерть певицы Лоррейн Седжвик прямо на сцене от рук ее любовника, тенора Лоренцо Орсини, надолго опустила занавес оперного театра. Спустя 15 лет театр был предоставлен для занятий студенческому драматическому кружку. Как раз тому, в который по волесудьбы записалась дочь Лоррейн — Кейт. Ее начинают преследовать ночные кошмары и зловещие видения. Кейт видит то же, что и ее мать в свой последний вечер. К тому же, желая попугать студентов, хозяин здания мистер Карузерс уверяет, что призрак Орсини все еще бродит по театру. Студенты принимают это за шутку, но когда выясняется, что телефоны не работают, а двери наглухо закрыты, дело приобретает нешуточный оборот. Безжалостный убийца, одетый в такой же костюм, какой был на Орсини в день убийства Лоррейн, приготовил для каждого из них оригинальный сюрприз…;Кристофер Пламмер,Марго Киддер,Сара Лассез,Джеймс Дювал,Татьяна Али,Мелисса Гальянос,J.P. Grimard,Райан Джэймс Биттл,Лиз Кроуфорд,Вики Мернтетт
17;Stamp and Deliver;1998;;Дэн Мирвиш;;;Джеймс Дювал,Лорел Холломан
18;Дикие лошади;1998;;Солейл Мун Фрай;;;Ангелина,Скотт Каан,Джеймс Дювал,Солейл Мун Фрай,Дэнни Мастерсон,Хизер МакКомб,Джастин Пирс,Марисса Рибизи,Энн Спрэдли-Монти,Тайрон Танн
19;Как устроить самый жестокий месяц;1998;;Кип Кениг;;Белла ставит перед собой две цели, которые хочет достичь в новом году: бросить курить и влюбиться. Но первая цель оказывается слишком трудной для девушки, поэтому все свои силы она решает бросить на осуществление второй цели.;Клеа ДюВалл,Дж. Д. Саузер,Мэри Кэй Плэйс,Гэбриел Манн,Джон Воскэмп,Джеймс Дювал,Эми Смарт,Джоржа Фокс,Кристофер Гартин,Фред Уэллер
20;Река утопленников;1997;;Джеймс Мерендино;;Аллен, молодой художник увлекся Евой, богатой владелицей художественной галереи. Неожиданно к нему приезжает старый друг и любовник Тадеус, умирающий от СПИДа. Постепенно Еве открывается правда об их прошлом…;Ричард Чемберлен,Майкл Империоли,Уте Лемпер,Джеймс Дювал,Остин Пендлтон,Талия Шайр,Майк Старр,Ричард Рили,Майкл Сауседо,Джеймс Карен
21;Нигде;1997;6.88;Грегг Араки;;Это похоже на бред, но это жизнь. Жизнь молодых людей, которые волею судьбы оказались рядом, чтобы прожить всего один день. Обычный день, полный неуверенности в себе, сомнений, страха, наркотиков, музыки в стиле рэп, беспробудного пьянства, смертей и любви. Страстной, безумной и от того еще более ужасной любви. Они никто и живут нигде…;Джеймс Дювал,Хизер Грэм,Мена Сувари,Кристина Эпплгейт,Райан Филипп,Шэннен Доэрти,Кьяра Мастроянни,Деби Мейзар,Кэтлин Робертсон,Дениз Ричардс
22;День независимости;1996;7.626;Роланд Эммерих;75000000;На Земле принимается сигнал, посланный источником явно неземного происхождения. Источник этот приближается, и на «уши» поднимается вся планета. Никто, правда, не ожидал, что инопланетяне окажутся такими огромными и в таком количестве.;Уилл Смит,Джефф Голдблюм,Билл Пуллман,Мэри МакДоннелл,Джадд Хёрш,Роберт Лоджа,Рэнди Куэйд,Маргарет Колин,Джеймс Ребхорн,Харви Файерстин
0;Пляжные игры;1965;5.6;Уильям Эшер;;Банда байкеров похищает звезду эстрады Шугар Кейн. Перед продюсером стоит нелегкая задача — найти свою подопечную.;Фрэнки Авалон,Аннетт Фаничелло,Дебора Уолли,Харви Лембек,Джон Эшли,Джоди МакКри,Донна Лорен,Марта Кристен,Линда Эванс,Тимоти Кэри
1;Пижамная вечеринка;1964;;Дон Уайс;200000;Гого — марсианин, который отправляется на Землю, чтобы «подготовить почву» для вторжения. Первый землянин, с которым он встречается, тетка Венди — богатая вдова, которая работает в магазине одежды. С этого момента жизнь для нее и ее племянника круто меняется.;Томми Кирк,Аннетт Фаничелло,Эльза Ланчестер,Харви Лембек,Джесси Уайт,Джоди МакКри,Бен Лесси,Донна Лорен,Сьюзэн Харт,Бобби Шоу
2;Пляж бикини;1964;;Уильям Эшер;600000;Шумная компания молодых людей, которая любит громкую музыку, задорные танцы и конечно-же сёрфинг, устраивается на прекрасном пляже, даже не подозревая, что побеспокоила стариков и старушек, живущих в местном пансионате. Кому-то это начинает очень не нравиться…;Фрэнки Авалон,Аннетт Фаничелло,Марта Хайер,Дон Риклз,Харви Лембек,Джон Эшли,Джоди МакКри,Кэнди Джонсон,Даниэль Обри,Мередит МакРэй
3;Мускулы на пляже;1964;;Уильям Эшер;;Эксцентричный миллионер собирается на практике доказать свою теорию о том, что его шимпанзе такой же умный, как и подростки, которые целыми днями ошиваются на пляже… Фрэнки, Диди и их друзья приезжают на полюбившийся им пляж и обнаруживают, что здесь же отдыхает группа бодибилдеров, с которыми у них отношения не ахти. Кроме того, появляется итальянская графиня Джулия, которая «кладет глаз» на Фрэнки…;Фрэнки Авалон,Аннетт Фаничелло,Лучана Палуцци,Джон Эшли,Дон Риклз,Питер Турджеон,Джоди МакКри,Дик Дэйл,Кэнди Джонсон,Питер Люпус
4;Человек с рентгеновскими глазами;1963;6.64;Роджер Корман;250000;Врач ставит над собой опыт. Капли, которые он закапывает в глаза, дают ему зрение, позволяющее видеть вещи насквозь.;Рэй Милланд,Диана Ван дер Влис,Харольд Стоун,Джон Хойт,Дон Риклз,Леон Элтон,Моррис Анкрум,Бенджи Бэнкрофт,Джордж ДеНорманд,Джон Диркес
5;Мышиная возня;1960;6.579;Роберт Маллиган;;Романтическая комедия о взаимоотношениях многообещающего музыканта, приехавшего в Нью-Йорк в поисках денег и славы, и профессиональной танцовщицы…;Тони Кертис,Дебби Рейнолдс,Джек Оуки,Кэй Медфорд,Дон Риклз,Марджори Беннетт,Хэл К. Доусон,Норман Фелл,Лиза Дрэйк,Джо Бушкин
6;The Rabbit Trap;1959;;Филип Ликок;;;Эрнест Боргнайн,Дэвид Брайан,Бетел Лесли,Кевин Коркоран,Джун Блэр,Кристофер Дарк,Жанетт Нолан,Расселл Коллинз,Дон Риклз,Пол Брайар
7;Идти тихо, идти глубоко;1958;7.283;Роберт Уайз;;Вторая мировая воина. Гавайские острова. Японцы после нападения на Перл Харбор продолжают методично уничтожать флот США. Очередная американская подводная лодка потоплена японским эсминцем, капитан Ричардсон чудом остался в живых и списан на берег. Он жаждет отомстить врагам за гибель своей субмарины, и такая возможность ему предоставлена командованием, ведь только он знает все глубины в этом квадрате. Адмирал флота назначает его шкипером — капитаном на субмарину «Нерка», но команда не рада такому начальству, ведь матросы уже выбрали себе капитаном ДжимаБледсо. На борту начинается психологическое противостояние.  Новый капитан ежедневно проводит тактические учения по быстрому погружению, от которых команда не в восторге, но эти учебные маневры в последствии дадут огромные преимущества в подводной войнеи приведут экипаж к победе над врагом.;Кларк Гейбл,Берт Ланкастер,Джек Уорден,Брэд Декстер,Дон Риклз,Ник Крэвет,Джо Маросс,Мэри Ларош,Эдди Фой III,Руди Бонд
8;Большая пустота;2003;5.95;Стив Андерсон;;Джон Персон получит 25 000 долларов от своего соседа Нили, если сумеет доставить синий чемодан дальнобойщику по кличке Ковбой. Предложение заманчивое, ведь безработный актер Джон успел наделать в Лос-Анджелесе долгов. Смущает лишь то, что Джон не имеет права заглядывать в чемодан и должен беречь его пуще собственной жизни. Ковбой обосновался в местечке Бейкер на самой границе Долины Смерти. Когда Джон туда добирается, Ковбоя уже и след простыл. Странные вещи начинаются после того, как Джону сообщают, что Бейкер — не просто привал для дальнобойщиков, но и глубоко законспирированный межпланетный порт, с которого стартуют летающие тарелки. Вскоре выясняется, что нанявший Джона сосед найден обезглавленным. За разъяснениями к Джону срочно выезжает агент ФБР. Джон начинает подозревать, что ввязался во что-то более серьезное, чем обычная курьерская доставка.;Джон Фавро,Джои Лорен Эдамс,Бад Корт,Джон Грайз,Дэрил Ханна,Адам Бич,Гэри Фармер,Рэйчел Ли Кук,Брент Бриско,Мелора Уолтерс
9;Пришельцы в Америке;2001;6.616;Жан-Мари Пуаре;35000000;Средневековый рыцарь и его слуга попали из XII века в наше время. Чужие в мире машин и компьютеров, Тибо и Андре устраивают маленький переполох в большом городе.;Жан Рено,Кристина Эпплгейт,Кристиан Клавье,Мэтт Росс,Тара Рид,Бриджит Уилсон,Джон Эйлуорд,Джордж Плимптон,Малкольм МакДауэлл,Мартин Аистроп
10;Дорожные заставы Нью-Джерси;1999;;Брайан Бакли;;;Келси Грэммер,Роберта Анджелика,Сьюзан Энтон,Дэррил М. Белл,Джим Браун,Маркус Браун,Томми Чанг,Ванесса Кобэм,Роберт Конрад,Грегг Дэниэл
11;Standing on Fishes;1999;;Мередит Скотт Линн;;;Брэдфорд Татум,Мередит Скотт Линн,Джейсон Пристли,Лорен Фокс,Келси Грэммер,Памела Рид,Джеймс Блэк,Нэнси Хауэр,Джек МакГи,Александра Хедисон
12;Сказка про Корову;1998;;Вадим Жан;;История о маленькой девочке и взрослом дяденьке, взявшемся написать детскую книжку. Они случайно встретились, и, послушавшись советов малышки Сэм, дяденька сочинил настоящий шедевр. Книга приносит ему славу и большие деньги. Единственная неприятность — его безумная популярность среди детей, от внимания которых не скрыться… А еще он не знает, как отблагодарить девочку.;Келси Грэммер,Женевьева Тессьер,Джозеф Раттен,Аманда Донохью,Кэй Тремблэ,Патрик МакКенна,Лекс Гигерофф,Гари Леверт,Джеффри Хиршфилд,Денни Доэрти
13;Анастасия;1997;8.082;Дон Блут;53000000;Анастасия — дочка последнего русского царя Николая, погубленного зловещим Распутиным. Ей удается спастись, добраться вместе с бабушкой до переполненного вокзала и… потеряться в толпе. Проходит десять лет. Анастасия стала взрослой красавицей и теперь хочет попасть в Париж. Сможет ли царевна осуществить задуманное? Ведь Распутин уже поднялся из своей могилы…;Мег Райан,Джон Кьюсак,Келси Грэммер,Кристофер Ллойд,Хэнк Азария,Бернадетт Питерс,Кирстен Данст,Анджела Лэнсбери,Рик Джонс,Андреа Мартин
14;Убрать перископ;1996;7.475;Дэвид С. Уорд;31000000;Вместо долгожданной атомной подводной лодки капитан Том Додж получает в свое распоряжение допотопную дизельную развалину. Судя по внешнему виду, единственное, на что она способна — это последнее и очень быстрое погружение. Однако его это не смущает, ведь он самый веселый и бесшабашный капитан флота США, настоящий морской волк с татуировкой на интимном месте. Под стать ему подобрался и экипаж. Более эксцентричных и нелепых матросов в природе не существует. А когда в качестве эксперимента на лодку назначается женщина-офицер, и без того неспокойные моряки просто сходят с ума…;Келси Грэммер,Лорен Холли,Роб Шнайдер,Гарри Дин Стэнтон,Брюс Дерн,Уильям Х. Мэйси,Кен Хадсон Кэмпбелл,Тоби Хасс,Дуэйн Мартин,Джонатан Пеннер
15;Сойти с ума;1995;6.709;Крис Бэйли;;Микки Маус неожиданно для себя пообещал своей подружке Минни романтическую поездку на Гавайи. Лишь позже он узнал, что это счастье обойдётся ему почти в тысячу долларов. В поисках денег Микки попадает в лабораторию безумного профессора и оказывается подопытной мышью в эксперименте по пересадке сознания…;Уэйн Оллвэйн,Расси Тейлор,Келси Грэммер,Джим Каммингс,Билл Фармер
